PROJECT_DEV,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM.1,UNIT PRICE DO,DELIVERED,TO BE DELIVER QTY,INVOICED QTY,UOM.2,UNIT PRICE INVOICE,TOTAL PRICE BILLING,TO BE INVOICED,PO date,Req.dlv.dt,Duration (in days),Status
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50BC0102,Luggage Rack,380,594,SET,40196419560,2.39E+13,124,,40196419560,4.98E+12,470,118,,40196419560,4.74E+12,6,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGC79VA0003,STOP BLOCK,660,220,PC,124638800,27420536000,124,,124638800,15455211200,96,124,,124638800,15455211200,0,04.09.2023,30.04.2026,969,On Progress
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42EG2060,SETSCREW_HEX HEAD (FULL THREAD),250,120,PC,2622840,314740800,120,,2622840,314740800,0,0,,2622840,0,120,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42DG0516,SOCKET_HEAD_CSK_SCREW,290,120,PC,339960,40795200,120,,339960,40795200,0,0,,339960,0,120,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB44PD0200,WASHER_SPRING,350,120,PC,456600,54792000,120,,456600,54792000,0,0,,456600,0,120,06.06.2024,12.07.2024,36,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AB1101P02,Ceiling panel K1,1550,595,SET,40979948490,2.44E+13,120,,40979948490,4.92E+12,475,119,,40979948490,4.88E+12,1,04.09.2023,30.04.2026,969,On Progress
M1-22038,M1-22038.4500010284,1200000286,1/17/2024,4500010284,140000,FGD10WA0020,KACA BENING,40,120,PC,144000,17280000,120,,144000,17280000,0,120,,144000,17280000,0,29.12.2023,31.01.2024,33,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGC79VA0003,STOP BLOCK,650,228,PC,129171120,29451015360,120,,129171120,15500534400,108,120,,129171120,15500534400,0,04.09.2023,30.04.2026,969,On Progress
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42EI1125,SOCKET_HEAD_CSK_SCREW,280,120,PC,1097760,131731200,118,,1097760,129535680,2,0,,1097760,0,118,06.06.2024,12.07.2024,36,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AC1112,Pintu maintenance r. genset,1200,440,SET,306028800,1.35E+11,115,,306028800,35193312000,325,115,,306028800,35193312000,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB463A170021,Perlengkapan P3K,540,199,SET,157279650,31298650350,114,,157279650,17929880100,85,114,,157279650,17929880100,0,04.09.2023,30.04.2026,969,On Progress
M5-23003,M5-23003.7100001299,1200000255,9/7/2023,7100001299,140011,FGB22D08GG00252HAW,SEALANT SIkaflex 252 FC 600 ml (White),30,110,PC,15950000,1754500000,110,,15950000,1754500000,0,0,,15950000,0,110,01.09.2023,23.11.2023,83,Complete
M5-23003,M5-23003.7100001299,1200000255,9/7/2023,7100001299,140011,FGB22D08GG00252HAW,SEALANTSIkaflex 252 FC 600 ml (White),50,110,PC,15950000,1754500000,110,,15950000,1754500000,0,0,,15950000,0,110,01.09.2023,23.11.2023,83,Complete
M1-23011,M1-23011.4300004437,1200000292,2/26/2024,4300004437,140000,FGB50AG0702P01,Large Fix Window,50,110,SET,803129360,88344229600,110,,803129360,88344229600,0,110,,803129360,88344229600,0,18.10.2023,16.02.2024,121,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50JA0110,Insulation,210,297,SET,15759544680,4.68E+12,106,,15759544680,1.67E+12,191,106,,15759544680,1.67E+12,0,04.09.2023,30.04.2026,969,On Progress
M9-23004,M9-23004.9000000099,1200000180,1/16/2023,PON/GMB/0123/00010,20047,FGB566A0083,ABS 083 Jeruk Abu,10,105,PC,15750000,1653750000,105,,15750000,1653750000,0,105,,15750000,1653750000,0,07.01.2023,27.01.2023,20,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AF1147P01,Panel Interior Partisi Ujung 1,1620,199,SET,4311951900,8.58E+11,105,,4311951900,4.53E+11,94,105,,4311951900,4.53E+11,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AF1147P02,Panel Interior Partisi Ujung 2,1630,199,SET,4311951900,8.58E+11,104,,4311951900,4.48E+11,95,104,,4311951900,4.48E+11,0,04.09.2023,30.04.2026,969,On Progress
M5-23003,M5-23003.7100001299,1200000255,9/7/2023,7100001299,140011,FGB22D08GG00252HAW,SEALANT SIkaflex 252 FC 600 ml (White),40,100,PC,14500000,1450000000,100,,14500000,1450000000,0,0,,14500000,0,100,01.09.2023,23.11.2023,83,Complete
