Posting Date,Material,Material Description,Purchase Order,Document Date,Qty in Un. of Entry,Item,Movement Type,WBS Element,Unit of Entry,Item,Amount in LC,Material Document,User Name,Document Header Text,Reference,Order,Vendor,Reservation,Batch,WBS Element
2024-01-03,A15ND0050,ROUND BAR,,2024-01-03,-203,0,221,M1-22041.4300003938,STK,1,-10641342,4900300733,IMS_INVT01,,DALMAT FAB.INKA,,,61324,,M1-22041.4300003938
2024-01-03,D62QE0034#HB,PRIMER SURFACER EP PLUS 534 - 5068 + HAR,,2024-01-03,-100,0,221,M1-22041.4300003938,LTS,2,-9110000,4900300668,IMS_INVT01,,WS. BAGI,,,61398,,M1-22041.4300003938
2024-01-03,D67UK01002,MAJUN,,2024-01-03,-100.00,0,221,M1-22041.4300003938,KG,1,-1650000,4900300668,IMS_INVT01,,WS. BAGI,,,61398,,M1-22041.4300003938
2024-01-03,D72SD06100,MATA TAP,,2024-01-03,-200,0,221,M1-22041.4300003938,PC,1,-15620442,4900300749,IMS_INVT01,,WS. BAGI,,,61428,,M1-22041.4300003938
2024-01-03,D73TI0020PH,COUPLER NITTO / NEPPLE,,2024-01-03,-100,0,221,M1-22041.4300003938,PC,2,-2350000,4900300657,IMS_INVT01,,FINISHING WS.INK,,,61391,,M1-22041.4300003938
2024-01-03,D73TI0020PM,COUPLER NITTO / NEPPLE,,2024-01-03,-100,0,221,M1-22041.4300003938,PC,1,-2335185,4900300657,IMS_INVT01,,FINISHING WS.INK,,,61391,,M1-22041.4300003938
2024-01-03,D73TI0020SH,COUPLER NITTO / NEPPLE,,2024-01-03,-100,0,221,M1-22041.4300003938,PC,3,-6300000,4900300657,IMS_INVT01,,FINISHING WS.INK,,,61391,,M1-22041.4300003938
2024-01-03,D83SPP002#PT,SPIDOL BESAR,,2024-01-03,-50,0,221,M1-22041.4300003938,PC,1,-725000,4900300656,IMS_INVT01,,FINISHING WS.INK,,,61371,,M1-22041.4300003938
2024-01-03,D84TA40002,KERPUS KEPALA,,2024-01-03,-50,0,221,M1-22041.4300003938,PC,1,-1100000,4900300731,IMS_INVT01,,DALMAT FIN.INKA,,,61430,,M1-22041.4300003938
2024-01-03,D84TA50001,KAOS TANGAN,,2024-01-03,-77,0,221,M1-22041.4300003938,PAC,1,-1925000,4900300737,IMS_INVT01,,FAB WS.INKA,,,61409,,M1-22041.4300003938
