Material,Plnt,SLoc,S,Special stock number,BUn,Unrestricted,Crcy,Value Unrestricted
A11AE0023D11,2301,IS01,Q,,SHT,"5,00",IDR,
A11AE0032,2301,IS01,Q,,SHT,"1,00",IDR,
A11AE0032,2301,IS01,Q,,SHT,"6,00",IDR,
A11AE0032,2301,IS01,Q,,SHT,"2,00",IDR,
A11BE0020C810,2301,IS01,Q,,SHT,"233,00",IDR,
A11BE0020C810,2301,IS01,Q,,SHT,"12,00",IDR,
A11BE0020D9098,2301,IS01,Q,,SHT,"424,00",IDR,
A11BE0020D9098,2301,IS01,Q,,SHT,"62,00",IDR,
A11BE0025,2301,IS01,Q,,SHT,"13,00",IDR,
A11BE0040,2301,IS01,Q,,SHT,"19,00",IDR,
A11BG0030D2116,2301,IS01,Q,,SHT,"32,00",IDR,
A11BG0030D2116,2301,IS02,Q,,SHT,"18,00",IDR,
A11BG0090,2301,IS02,Q,,SHT,"6,00",IDR,
A11BG0090,2301,IS02,Q,,SHT,"1,00",IDR,
A11BG0160,2301,IS01,Q,,SHT,"1,00",IDR,
A11BG0500,2301,IS01,Q,,SHT,"3,00",IDR,
A11CR0250,2301,IS01,Q,,SHT,"148,00",IDR,
A11CR0250,2301,IS02,Q,,SHT,"1,00",IDR,
A11DJ0060D9098,2301,IS01,Q,,SHT,"1,00",IDR,
A11EL0050,2301,IS01,Q,,SHT,"2,00",IDR,
A11EL0050,2301,IS01,Q,,SHT,"3,00",IDR,
A11EL0060D7267,2301,IS01,,,SHT,"10,00",IDR,
A11EL0060D7267,2301,IS01,Q,,SHT,"68,00",IDR,
A11EL0060I5267,2301,IS01,Q,,SHT,"4,00",IDR,
A11EL0060I5267,2301,IS01,Q,,SHT,"84,00",IDR,
A11EL0060I5267,2301,IS01,Q,,SHT,"15,00",IDR,
A11EL0060I5267,2301,IS02,Q,,SHT,"5,00",IDR,
A11EL0060I5267,2301,IS02,Q,,SHT,"4,00",IDR,
A11EL0060I5267,2301,IS02,Q,,SHT,"7,00",IDR,
A11EL0060I5267,2301,IS02,Q,,SHT,"18,00",IDR,
A11EL0060I5267,2301,IS02,Q,,SHT,"2,00",IDR,
A11EL0060I5267,2301,IS02,Q,,SHT,"8,00",IDR,
A11EL0060I5267,2301,IS02,Q,,SHT,"47,00",IDR,
A11EL0060I5267,2301,IS02,Q,,SHT,"11,00",IDR,
A11EL0060I5267,2301,IS02,Q,,SHT,"25,00",IDR,
A11EL0100G9157,2301,IS01,Q,,SHT,"6,00",IDR,
A11EL0100G9157,2301,IS01,Q,,SHT,"1,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"109,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"110,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"87,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"111,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"93,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"23,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"47,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"2,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"105,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"2,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"47,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"8,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"28,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"104,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"6,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"6,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"31,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"36,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"3,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"30,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"6,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"13,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"1,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"9,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"18,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"4,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"22,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"28,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"50,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"21,00",IDR,
A11EL0100G9157,2301,IS02,Q,,SHT,"43,00",IDR,
