Project Definition,WBS Element,Sales Document,Sales Document Item
M0-22001,M0-22001.9000000055,1100000160,10
M0-22001,M0-22001.9000000056,1100000161,10
M0-22001,M0-22001.9000000057,1100000127,10
M0-22001,M0-22001.9000000058,1100000128,10
M0-22001,M0-22001.9000000058,1100000128,20
M0-22001,M0-22001.9000000059,1100000162,10
M0-22001,M0-22001.9000000062,1100000129,10
M0-22001,M0-22001.9000000062,1100000129,20
M0-22001,M0-22001.9000000069,1100000131,10
M0-22001,M0-22001.9000000076,1100000132,10
M0-22001,M0-22001.9000000086,1100000133,10
M0-22001,M0-22001.9000000090,1100000135,10
M0-22001,M0-22001.9000000092,1100000136,10
M0-22001,M0-22001.9000000104,1100000138,10
M0-22001,M0-22001.9000000117,1100000139,10
M0-22001,M0-22001.9000000117,1100000139,20
M0-22001,M0-22001.9000000123,1100000141,10
M0-22001,M0-22001.9000000123,1100000141,20
M0-22001,M0-22001.9000000169,1100000137,10
M0-22003,M0-22003.9000000006,1100000049,10
M0-22003,M0-22003.9000000006,1100000055,10
M0-22003,M0-22003.9000000006,1100000056,10
M0-22003,M0-22003.9000000006,1100000061,10
M0-22003,M0-22003.9000000006,1100000064,10
M0-22003,M0-22003.9000000006,1100000065,10
M0-22003,M0-22003.9000000006,1100000092,10
M0-22003,M0-22003.9000000006,1100000094,10
M0-22003,M0-22003.9000000006,1100000097,10
M0-22003,M0-22003.9000000006,1100000100,10
M0-22003,M0-22003.9000000006,1100000102,10
M0-22003,M0-22003.9000000006,1100000103,10
M0-22003,M0-22003.9000000006,1100000105,10
M0-22003,M0-22003.9000000006,1100000106,10
M0-22003,M0-22003.9000000006,1100000107,10
M0-22003,M0-22003.9000000006,1100000119,10
M0-22003,M0-22003.9000000017,1100000124,10
M0-22003,M0-22003.9000000017,1100000124,20
M1-19012,M1-19012.4300001689,1100000272,10
M1-19012,M1-19012.4300001689,1100000272,20
M1-19012,M1-19012.4300001689,1100000272,30
M1-19012,M1-19012.4300001689,1100000272,40
M1-19012,M1-19012.4300001689,1100000272,50
M1-19012,M1-19012.4300001689,1100000272,60
M1-19012,M1-19012.4300001689,1100000272,70
M1-19012,M1-19012.4300001689,1100000272,80
M1-19012,M1-19012.4300001689,1100000272,90
M1-19012,M1-19012.4300001689,1100000272,100
M1-19012,M1-19012.4300001689,1100000272,110
