Material,Plnt,SLoc,S,Valuation,Special stock number,SL,Batch,BUn,Unrestricted,Crcy,Value Unrestricted,Transit/Transf.,Val. in Trans./Tfr,In Quality Insp.,Value in QualInsp.,Restricted-Use,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
A10FO0750,2301,IS01,Q,M,M1-23010.4300004430,,,SHT,"12,00",IDR,9.270.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA1100C3-S25,2301,IS01,,,,,,SHT,"1,00",IDR,550.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA1100C3-S25,2301,IS01,Q,M,M1-23011.4300004437,,,SHT,"7,00",IDR,4.550.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA1100C3-S25,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"62,00",IDR,40.346.481,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA1100C3-S25,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"3,00",IDR,1.950.945,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA1100C3-S25,2301,IS01,Q,M,M1-22041.4300003938.3,,,SHT,"24,00",IDR,15.600.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA1100C3-S25,2301,IS01,Q,M,M1-22041.4300003938.5,,,SHT,"2,00",IDR,1.300.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA1100D5-S30,2301,IS01,Q,M,M1-22041.4300003938,,,SHT,"25,00",IDR,5.125.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA1100D5-S30,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"4,00",IDR,820.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA110D0080,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"2,00",IDR,220.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA1200C3-S20,2301,IS01,Q,M,M1-23011.4300004437,,,SHT,"5,00",IDR,1.625.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA13050,2301,IS01,Q,M,M1-22041.4300003938.3,,,M,"80,00",IDR,9.600.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA13050,2301,IS01,Q,M,M1-23011.4300004437.2,,,M,"70,00",IDR,8.400.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA13050,2301,IS01,Q,M,M1-23003.4500010780,,,M,"915,00",IDR,109.800.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA13100,2301,IS01,Q,M,M1-22041.4300003938.1,,,M,"657,00",IDR,131.400.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A10TA13100,2301,IS01,Q,M,M1-22041.4300003938.2,,,M,"500,00",IDR,100.000.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
