PROJECT DEF,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM.1,UNIT PRICE DO,DELIVERED,TO BE DELIVER QTY,INVOICED QTY,UOM.2,UNIT PRICE INVOICE,TOTAL PRICE BILLING,TO BE INVOICED,PO date,Req.dlv.dt,Duration (in days),Status,Persen
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000022,BASE PLATE,420,200,PC,1600000.0,320000000.0,200,,1600000.0,320000000.0,0,0,,1600000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000024,STIFFENER,460,200,PC,3560000.0,712000000.0,200,,3560000.0,712000000.0,0,0,,3560000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000025,STIFFENER,480,200,PC,4940000.0,988000000.0,200,,4940000.0,988000000.0,0,0,,4940000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000026,STIFFENER,500,200,PC,12540000.0,2508000000.0,200,,12540000.0,2508000000.0,0,0,,12540000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB032M25000003,SIDE PLATE,620,200,PC,52580000.0,10516000000.0,200,,52580000.0,10516000000.0,0,0,,52580000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
0,0,1200000332,2024-10-05,4500011797,140000,FGB032M25000005,STIFFENER,660,200,0,,,200,,,,0,0,,,,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB033M250000011,PLATE,700,200,PC,7600000.0,1520000000.0,200,,7600000.0,1520000000.0,0,0,,7600000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGBTB1014038005001,STIFFENER 01,1080,200,PC,13780000.0,2756000000.0,200,,13780000.0,2756000000.0,0,0,,13780000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGBTB1014038015001,STIFFENER 01,1200,200,PC,13780000.0,2756000000.0,200,,13780000.0,2756000000.0,0,0,,13780000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25011010,STIFFENER,1740,200,PC,11040000.0,2208000000.0,200,,11040000.0,2208000000.0,0,0,,11040000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25011024,STIFFENER,2040,200,PC,6780000.0,1356000000.0,200,,6780000.0,1356000000.0,0,0,,6780000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004004,STIFFENER,2160,200,PC,16920000.0,3384000000.0,200,,16920000.0,3384000000.0,0,0,,16920000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004009,BOLSTER SPRING SEAT,2240,200,PC,23180000.0,4636000000.0,200,,23180000.0,4636000000.0,0,0,,23180000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004010,SPRING GUIDE,2260,200,PC,7500000.0,1500000000.0,200,,7500000.0,1500000000.0,0,0,,7500000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004013,SPRING GUIDE,2320,200,PC,7140000.0,1428000000.0,200,,7140000.0,1428000000.0,0,0,,7140000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004014,SPRING GUIDE,2340,200,PC,41940000.0,8388000000.0,200,,41940000.0,8388000000.0,0,0,,41940000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004017,STIFFENER,2420,200,PC,15860000.0,3172000000.0,200,,15860000.0,3172000000.0,0,0,,15860000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004021,STOPPER,2500,200,PC,8120000.0,1624000000.0,200,,8120000.0,1624000000.0,0,0,,8120000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M250040221,SAFETY WIRE BRACKET,2520,200,PC,7300000.0,1460000000.0,200,,7300000.0,1460000000.0,0,0,,7300000.0,0.0,200,20.09.2024,31.01.2025,133,Complete,100.0
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50BN0201,Train Marking and Accesories,1070,199,SET,710032000.0,141296368000.0,199,,710032000.0,141296368000.0,0,199,,710032000.0,141296368000.0,0,04.09.2023,30.04.2026,969,Complete,100.0
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AB1101P02,Ceiling panel K3,1580,399,SET,27480680910.0,10964791683090.0,193,,27480680910.0,5303771415630.0,206,185,,27480680910.0,5083925968350.0,8,04.09.2023,30.04.2026,969,On Progress,48.4
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AG0702P01,Large Fix Window,1440,342,SET,2497002192.0,853974749664.0,192,,2497002192.0,479424420864.0,150,192,,2497002192.0,479424420864.0,0,04.09.2023,30.04.2026,969,On Progress,56.1
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50BC0102,Luggage Rack,390,398,SET,26932954520.0,10719315898960.0,184,,26932954520.0,4955663631680.0,214,176,,26932954520.0,4740199995520.0,8,04.09.2023,30.04.2026,969,On Progress,46.2
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50BN0008,"Train Marking (Name plate,panel marking)",1060,297,SET,1059696000.0,314729712000.0,182,,1059696000.0,192864672000.0,115,182,,1059696000.0,192864672000.0,0,04.09.2023,30.04.2026,969,On Progress,61.3
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AB1101P06,Endwall K3,1590,398,SET,3701133738.0,1473051227724.0,182,,3701133738.0,673606340316.0,216,182,,3701133738.0,673606340316.0,0,04.09.2023,30.04.2026,969,On Progress,45.7
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AB1101P01,Side wall K3,1570,398,SET,15175453440.0,6039830469120.0,171,,15175453440.0,2595002538240.0,227,171,,15175453440.0,2595002538240.0,0,04.09.2023,30.04.2026,969,On Progress,43.0
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50JA0101P01,Floor Sub-Structure,120,199,SET,14145343070.0,2814923270930.0,165,,14145343070.0,2333981606550.0,34,165,,14145343070.0,2333981606550.0,0,04.09.2023,30.04.2026,969,On Progress,82.9
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB42EG1225,BOLT_HEX_FLANGE_SERRATED,60,160,PC,1396160.0,223385600.0,160,,1396160.0,223385600.0,0,0,,1396160.0,0.0,160,06.06.2024,12.07.2024,36,Complete,100.0
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB42EG0602,SETSCREW_HEX HEAD_AS1111-1980 (FULL THRE,260,160,PC,155520.0,24883200.0,160,,155520.0,24883200.0,0,0,,155520.0,0.0,160,06.06.2024,12.07.2024,36,Complete,100.0
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50JA0101P01,Floor Sub-Structure,110,297,SET,21111391420.0,6270083251740.0,152,,21111391420.0,3208931495840.0,145,148,,21111391420.0,3124485930160.0,4,04.09.2023,30.04.2026,969,On Progress,51.2
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AB1101P01,Side wall K1,1540,594,SET,22648792320.0,13453382638080.0,152,,22648792320.0,3442616432640.0,442,152,,22648792320.0,3442616432640.0,0,04.09.2023,30.04.2026,969,On Progress,25.6
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB52TH0001P01,AC 20.000 Kcal/h,760,398,SET,109898207700.0,43739486664600.0,146,,109898207700.0,16045138324200.0,252,138,,109898207700.0,15165952662600.0,8,04.09.2023,30.04.2026,969,On Progress,36.7
0,0,1200000287,2024-01-22,4500010091,140000,FGC95LF0809,Palu darurat,690,320,0,,,137,,,,183,137,,,,0,04.09.2023,30.04.2026,969,On Progress,42.8
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB84QA00041,PEMADAM API CF-21 KAP 3KG,590,199,PC,326923170.0,65057710830.0,135,,326923170.0,44134627950.0,64,135,,326923170.0,44134627950.0,0,04.09.2023,30.04.2026,969,On Progress,67.8
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB84QA00041,PEMADAM API CF-21 KAP 3KG,580,297,PC,487920509.9999999,144912391470.0,130,,487920509.9999999,63429666299.99998,167,130,,487920509.9999999,63429666299.99998,0,04.09.2023,30.04.2026,969,On Progress,43.8
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AB1101P06,Endwall K1,1560,594,SET,5523802614.0,3281138752716.0,128,,5523802614.0,707046734592.0,466,128,,5523802614.0,707046734592.0,0,04.09.2023,30.04.2026,969,On Progress,21.5
M9-23004,M9-23004.9000000296,1200000260,2023-10-13,PON/GMB/1023/00035,20047,FGB566A0083,ABS 083 Jeruk Abu,10,126,PC,18900000.0,2381400000.0,126,,18900000.0,2381400000.0,0,0,,18900000.0,0.0,126,12.10.2023,31.10.2023,19,Complete,100.0
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50BC0102,Luggage Rack,380,594,SET,40196419560.0,23876673218640.0,124,,40196419560.0,4984356025440.0,470,118,,40196419560.0,4743177508080.0,6,04.09.2023,30.04.2026,969,On Progress,20.9
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGC79VA0003,STOP BLOCK,660,220,PC,124638800.0,27420536000.0,124,,124638800.0,15455211200.0,96,124,,124638800.0,15455211200.0,0,04.09.2023,30.04.2026,969,On Progress,56.4
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB42EG2060,SETSCREW_HEX HEAD (FULL THREAD),250,120,PC,2622840.0,314740800.0,120,,2622840.0,314740800.0,0,0,,2622840.0,0.0,120,06.06.2024,12.07.2024,36,Complete,100.0
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB42DG0516,SOCKET_HEAD_CSK_SCREW,290,120,PC,339960.0,40795200.0,120,,339960.0,40795200.0,0,0,,339960.0,0.0,120,06.06.2024,12.07.2024,36,Complete,100.0
